route_id,service_id,trip_id,trip_headsign,direction_id,block_id
91-273,JAN18-JANDA18-Weekday-31,50075597-JAN18-JANDA18-Weekday-31,"Orléans",0,5756809
91-273,JAN18-JANDA18-Weekday-31,50075599-JAN18-JANDA18-Weekday-31,"Orléans",0,5756969
19-273,JAN18-JANDA18-Weekday-31,50075600-JAN18-JANDA18-Weekday-31,"Bank",0,5757178
19-273,JAN18-JANDA18-Weekday-31,50075601-JAN18-JANDA18-Weekday-31,"St-Laurent",1,5757178
19-273,JAN18-JANDA18-Weekday-31,50075602-JAN18-JANDA18-Weekday-31,"Bank",0,5757178
19-273,JAN18-JANDA18-Weekday-31,50075603-JAN18-JANDA18-Weekday-31,"St-Laurent",1,5757178
19-273,JAN18-JANDA18-Weekday-31,50075604-JAN18-JANDA18-Weekday-31,"Bank",0,5757178
19-273,JAN18-JANDA18-Weekday-31,50075605-JAN18-JANDA18-Weekday-31,"St-Laurent",1,5757178
19-273,JAN18-JANDA18-Weekday-31,50075606-JAN18-JANDA18-Weekday-31,"Bank",0,5757178
19-273,JAN18-JANDA18-Weekday-31,50075607-JAN18-JANDA18-Weekday-31,"St-Laurent",1,5757178
264-273,JAN18-JANDA18-Weekday-31,50075608-JAN18-JANDA18-Weekday-31,"Terry Fox",1,5757218
166-273,JAN18-JANDA18-Weekday-31,50075609-JAN18-JANDA18-Weekday-31,"Eagleson",1,5757218
168-273,JAN18-JANDA18-Weekday-31,50075610-JAN18-JANDA18-Weekday-31,"Bridlewood",0,5756463
168-273,JAN18-JANDA18-Weekday-31,50075611-JAN18-JANDA18-Weekday-31,"Terry Fox",1,5756463
161-273,JAN18-JANDA18-Weekday-31,50075612-JAN18-JANDA18-Weekday-31,"Bridlewood",0,5756484
161-273,JAN18-JANDA18-Weekday-31,50075613-JAN18-JANDA18-Weekday-31,"Terry Fox",1,5756484
168-273,JAN18-JANDA18-Weekday-31,50075614-JAN18-JANDA18-Weekday-31,"Bridlewood",0,5756484
168-273,JAN18-JANDA18-Weekday-31,50075615-JAN18-JANDA18-Weekday-31,"Terry Fox",1,5756484
161-273,JAN18-JANDA18-Weekday-31,50075616-JAN18-JANDA18-Weekday-31,"Bridlewood",0,5756425
161-273,JAN18-JANDA18-Weekday-31,50075617-JAN18-JANDA18-Weekday-31,"Terry Fox",1,5756425
61-273,JAN18-JANDA18-Weekday-31,50075618-JAN18-JANDA18-Weekday-31,"St-Laurent",0,5755991
61-273,JAN18-JANDA18-Weekday-31,50075619-JAN18-JANDA18-Weekday-31,"Terry Fox",1,5756245
61-273,JAN18-JANDA18-Weekday-31,50075620-JAN18-JANDA18-Weekday-31,"St-Laurent",0,5756245
9-273,JAN18-JANDA18-Weekday-31,50075621-JAN18-JANDA18-Weekday-31,"Rideau",0,5757110
44-273,JAN18-JANDA18-Weekday-31,50075622-JAN18-JANDA18-Weekday-31,"Billings Bridge",0,5756352
7-273,JAN18-JANDA18-Weekday-31,50075623-JAN18-JANDA18-Weekday-31,"St-Laurent",1,5756529
95-273,JAN18-JANDA18-Weekday-31,50075624-JAN18-JANDA18-Weekday-31,"Barrhaven Centre",1,5757181
95-273,JAN18-JANDA18-Weekday-31,50075625-JAN18-JANDA18-Weekday-31,"Orléans",0,5757181
94-273,JAN18-JANDA18-Weekday-31,50075626-JAN18-JANDA18-Weekday-31,"Riverview",0,5757181
105-273,JAN18-JANDA18-Weekday-31,50075627-JAN18-JANDA18-Weekday-31,"Gatineau",0,5755928
12-273,JAN18-JANDA18-Weekday-31,50075628-JAN18-JANDA18-Weekday-31,"Blair",0,5757008
106-273,JAN18-JANDA18-Weekday-31,50075629-JAN18-JANDA18-Weekday-31,"Hurdman",1,5757008
104-273,JAN18-JANDA18-Weekday-31,50075630-JAN18-JANDA18-Weekday-31,"Carleton",1,5756132
104-273,JAN18-JANDA18-Weekday-31,50075631-JAN18-JANDA18-Weekday-31,"Place d'Orléans",0,5757226
104-273,JAN18-JANDA18-Weekday-31,50075632-JAN18-JANDA18-Weekday-31,"Carleton",1,5757226
104-273,JAN18-JANDA18-Weekday-31,50075633-JAN18-JANDA18-Weekday-31,"Place d'Orléans",0,5756150
104-273,JAN18-JANDA18-Weekday-31,50075634-JAN18-JANDA18-Weekday-31,"Carleton",1,5756150
104-273,JAN18-JANDA18-Weekday-31,50075635-JAN18-JANDA18-Weekday-31,"Place d'Orléans",0,5757152
